flame_vert_id  off_vert_id  dist
    455      782511   0.074413
    456      782512   0.075510
    457      793011   0.095254
    458      793010   0.085057
    459      793011   0.086484
    460      773738   0.079165
    461      771974   0.077950
    462     1186665   0.046076
    463     1186665   0.049430
    464      935259   0.004732
    465      935265   0.005622
    466      928596   0.006686
    467      928594   0.006202
    468      972035   0.007466
    469      962065   0.008010
    470      962065   0.008218
    471      975374   0.007858
    472      926930   0.007405
    473      943647   0.005917
    474      935254   0.003856
    475      926930   0.006321
    476      761357   0.080540
    477      973711   0.007115
    478      962072   0.008049
    479      962072   0.006206
    480      973711   0.005314
    481      973693   0.001994
    482      962057   0.000810
    483      963726   0.003692
    484      975362   0.004604
    485      960384   0.000655
    486      963735   0.001085
    487      963739   0.000198
    488      960386   0.001416
    489      955376   0.007073
    490      962057   0.006201
    491      955369   0.004027
    492      950373   0.007414
    493      955386   0.009054
    494      940294   0.009540
    495      940294   0.008147
    496     1180566   0.069126
    497     1149980   0.080637
    498      861980   0.014914
    499      883763   0.015055
    500      877081   0.015182
    501      868798   0.014782
    502      791247   0.075044
    503      791247   0.074000
    504      779012   0.091154
    505      773738   0.082350
    506      771974   0.086323
    507      763117   0.082346
    508      763117   0.081204
    509      771974   0.084652
    510      773738   0.083924
    511      796549   0.081299
    512      782514   0.082485
    513      757850   0.080009
    514      759597   0.079633
    515      786011   0.090068
    516      779012   0.085761
    517      779012   0.085038
    518      771972   0.074987
    519      786008   0.091761
    520      789504   0.087671
    521      793011   0.086708
    522      817459   0.097516
    523      817459   0.097902
    524      817459   0.096322
    525      817459   0.096011
    526      822697   0.096324
    527      817459   0.097288
    528      817459   0.097967
    529      817459   0.097503
    530      791249   0.091040
    531      782511   0.086023
    532      796547   0.074758
    533      796551   0.088042
    534      851103   0.093855
    535      851103   0.093441
    536      844024   0.094811
    537      844024   0.095413
    538      794777   0.089084
    539     1110578   0.163303
    540      786008   0.168537
    541      786012   0.091933
    542      771974   0.078796
    543      796550   0.081830
    544      796550   0.084765
    545      796549   0.083739
    546      782512   0.080230
    547      793011   0.096184
    548      789504   0.096152
    549      793005   0.086161
    550      793011   0.092655
    551      796550   0.092499
    552     1128915   0.094663
    553     1127156   0.110977
    554      854650   0.075873
    555      854650   0.077032
    556      854650   0.079076
    557      973462   0.077727
    558     1171098   0.107238
    559     1177407   0.092373
    560      791246   0.070093
    561      794774   0.073698
    562      796548   0.072986
    563     1186665   0.058472
    564     1186665   0.059493
    565      796547   0.071836
    566      898842   0.064873
    567      796545   0.058561
    568      796547   0.067807
    569      752613   0.025968
    570      731727   0.030014
    571      770191   0.030488
    572      773715   0.027179
    573      536459   0.020683
    574      531898   0.020591
    575      500251   0.023454
    576      503339   0.023950
    577      786008   0.169279
    578      782514   0.170534
    579      842248   0.182168
    580      851106   0.178438
    581      470978   0.040521
    582      461863   0.040698
    583      467954   0.050146
    584      854650   0.077712
    585      854650   0.081817
    586      854650   0.081124
    587      854650   0.078059
    588      470978   0.049851
    589      868838   0.020140
