flame_vert_id  off_vert_id  dist
    247       99195   0.049862
    250      114590   0.039963
    255       80762   0.049629
    256       80426   0.049033
    260      114589   0.049397
    270      102222   0.040030
    271       98859   0.037341
    282       98523   0.046425
    283      101886   0.048047
    284       98187   0.046117
    288       95838   0.045698
    294      104574   0.049552
    295      110275   0.048239
    296      104238   0.047042
    297       83782   0.047936
    298       83446   0.049680
    302       79420   0.048722
    303       79083   0.046084
    304       78746   0.044997
    305       78409   0.044091
    306      145661   0.047054
    309      146835   0.049039
    310      109940   0.048734
    319       82099   0.049689
    320       81764   0.045391
    321       86116   0.045572
    335       71302   0.000738
    336       73023   0.001721
    337       78795   0.000514
    338       78136   0.001058
    340       81430   0.041488
    341       78073   0.041572
    365      106930   0.041702
    366      103902   0.043646
    367      106593   0.044106
    370      145956   0.042182
    371      145366   0.040889
    372      164983   0.031061
    373      156640   0.036150
    374      156882   0.043662
    375      170800   0.034329
    377       85784   0.036813
    381      103566   0.047240
    382      103230   0.048653
    386      113929   0.048133
    388      113600   0.047226
    401       97851   0.046330
    404      100206   0.047128
    418      113599   0.046989
    425      113270   0.048197
    427      105918   0.045421
    434      102894   0.045724
    435      105582   0.046181
    436      102557   0.045171
    451       81096   0.039229
    453       80761   0.041199
    462      171047   0.006418
    463      171154   0.011004
    464      118716   0.003639
    465      119044   0.002592
    466      117081   0.003310
    467      118062   0.003868
    468      131631   0.005648
    469      130995   0.007673
    470      131633   0.007356
    471      130675   0.005711
    472      116752   0.006576
    473      119696   0.008046
    474      118714   0.005850
    475      115765   0.005132
    476       77737   0.049115
    477      130357   0.004150
    478      130358   0.006197
    479      122308   0.005404
    480      129716   0.003550
    481      131622   0.005592
    482      129702   0.006312
    483      131305   0.007189
    484      131623   0.006293
    485      123269   0.004999
    486      124563   0.003216
    487      124241   0.002888
    488      122947   0.004357
    489      120349   0.009036
    490      131308   0.008320
    491      121649   0.008675
    492      120681   0.004185
    493      120355   0.006299
    494      119375   0.004391
    495      119374   0.002505
    496      155908   0.021371
    497      155412   0.030986
    498      105497   0.003920
    499      109517   0.003855
    500      108169   0.003396
    501      106156   0.003418
    502      102221   0.043617
    507       77401   0.046922
    511      122112   0.046953
    513       80425   0.044514
    514       80090   0.045631
    532      112939   0.037906
    543      121788   0.048479
    544      123408   0.048046
    545      123083   0.046084
    552      155162   0.042925
    554      136838   0.038791
    555      136211   0.040797
    556      137464   0.042224
    557      138087   0.040261
    559      153893   0.046862
    561      105245   0.039690
    562      108606   0.038298
    563      170726   0.008949
    564      170799   0.009880
    565      112608   0.033862
    566      120161   0.024132
    567      101885   0.020437
    568      104909   0.031206
    569       82078   0.001187
    570       80744   0.001642
    571       89430   0.000777
    572       88424   0.000677
    573       33347   0.002375
    574       32988   0.002140
    575       26525   0.000174
    576       27451   0.000832
    581       18968   0.020229
    582       18947   0.019257
    583       18966   0.030306
    584      139018   0.040919
    585      140558   0.045425
    586      136525   0.046947
    587      137151   0.043494
    588       22323   0.029332
    589      106216   0.002401
    590      111575   0.003723
    591      111898   0.004412
    592      107889   0.003353
    593      146249   0.044322
    594      146542   0.043873
    597       94496   0.048695
    598       93146   0.048182
    603       18967   0.042561
    604       22324   0.040409
    605      100733   0.000370
    612      130807   0.038108
    613      123409   0.036861
    614      126957   0.038578
    615      127278   0.039770
    622       99051   0.000541
    623      101753   0.001139
    624      103766   0.001557
    625       55679   0.000252
    626       48989   0.001017
    627       49357   0.001494
    628       56055   0.000808
    629      104116   0.001452
    630      105795   0.000968
    631       21951   0.003568
    632       22290   0.004129
    649      164081   0.019195
    650      170870   0.020325
    658      103567   0.047021
    659      102895   0.047751
    660      103903   0.048191
    661      105583   0.046949
    662      143282   0.046609
    667       62188   0.002231
    668       57925   0.002445
    669       63979   0.002349
    670       68301   0.002046
    671       67443   0.003145
    672       66378   0.002682
    673       73521   0.002252
    674       74200   0.002094
    675      137776   0.037636
    676      139945   0.037771
    677      143881   0.039306
    678      144180   0.039413
    679       94470   0.000369
    680       96827   0.000572
    681      103546   0.000397
    682      100515   0.000281
    683      104874   0.001969
    684       99870   0.047917
    686      101551   0.049609
    687      101215   0.047645
    688      109577   0.002782
    691       40665   0.002099
    692       39978   0.002227
    693       72947   0.001713
    694       75369   0.001333
    695       97700   0.000684
    696       96360   0.000471
    697       91640   0.000483
    702       92307   0.001092
    703       89285   0.000231
    704       89291   0.000767
    705       55033   0.000821
    706       49056   0.000604
    707       50120   0.000576
    708       56120   0.000138
    709       19248   0.011396
    712       18948   0.009821
    713       80934   0.000651
    714       81279   0.000522
    715       83966   0.000098
    723       83957   0.000468
    724      106482   0.001948
    725      105472   0.002429
    726      149105   0.046019
    727      148547   0.045161
    729       95167   0.028621
    730       90786   0.016690
    731       85453   0.015222
    732       74364   0.016562
    733       69796   0.021304
    734       79755   0.030493
    738       95005   0.001729
    739       97690   0.002110
    741      120162   0.038724
    742      115579   0.039695
    743      118856   0.041636
    744      126636   0.041625
    754      121002   0.003205
    755      117737   0.005202
    756      118719   0.006603
    757      118718   0.005683
    758      122625   0.004153
    759      123600   0.003294
    760      120028   0.007776
    761      120027   0.008072
    762      118720   0.006951
    763      117409   0.003687
    764      132576   0.005655
    765      132255   0.005043
    766      129379   0.003650
    767      131300   0.004428
    768      118390   0.007188
    769      119697   0.008588
    770      121647   0.006466
    771      118715   0.004639
    772      117735   0.004492
    773      121648   0.004915
    774      131627   0.006477
    775      121650   0.003714
    779      118529   0.047473
    780      115250   0.049146
    782      130166   0.049818
    784      152335   0.022815
    785      149930   0.031833
    786      150741   0.037556
    791      123085   0.040814
    792      130487   0.039428
    795      152858   0.031896
    797       63640   0.005513
